Sample Code,Sample Item Name,Processing Type,issues Date,Finishing Date,Loom,Warpping No,Yards,Construction,Color,Customer Name,Customer Required Width,Requrie Length %,Required Width-%,Required Weight(OZ),"After 
Weaving PPI","Af. Sanfo 
PPI",PPI(+),"Af. Padding
 Width",Af. Sanfo Width,"Af. Padding
 Skew","Af. Sanfo 
Skew",AF.Wash Skew,"Af. Wash 
PPI","Af. Wash 
Width","Af. Wash 
Width %","Af. Wash 
Length %","Sq. Box %
Right Hand","Sq. Box % 
Left Hand",Sample Processing details
X25128,,Black Padding,,6/21/2025,,,,"4968X46
10rsl(yt-199)Nishat+12oe(Badsha, BCI)4:6 X 10oe(Organic , ocs), 3/1RHT",Black#9L + PD#12A,Natural Denim(Zara Baby boys),63''-- 64'',,#(3--4)%,9.50 oz,46,53,+7,"C:64''
F:64.8''","C:64''
F:65''",16.0cm,12.0cm,12.0cm,53,64.0'',0.00%,0.0%,-0.70%,0.00%,"Singeing+Dryer(5box 85°C wash, speed-30 m/m)+Black Padding 140GPL +Sanforized"
PR105-08R12A/X23250,Insert Shrinkage Data,Black Padding,,2/8/2025,506,24121166,,"4464x43
9oe(Badsha)X9oe(Badsha), 3/1RHT",Black#9L + PD#12A,Fashion Tex/ Pull & Bear,63''--64'',,#(3--4)%,10.50 oz,,,+0,,,,,,,,,,,,Singeing+Dryer(5box wash 85°C)+Black Padding(140GPL)+Sanforized
X22262-1,,"Black Padding,Face Up",,9/22/2025,219,2509842,102y,"7200X85
20ring(compact, BCI)Nishat X 20ring(compact, BCI, Nishat)+150-40D(N.S/ Black 1:2) Hangzhou, SBC(RHT)",Black#9L + PD#12A,Madry Jeans,51''--52'',,#-(11--15)%,9.00 oz,85,96,+11,"C:51.4''
F:52.4''","C:49''
F:50''",4.0cm,6.0cm,6.5cm,96,42.0'',-14.20%,-1.80%,2.20%,-2.29%,Singeing+Heat Setting+Dryer(5box wash 85°C)+Black Padding+Sanforized
RNS115-07R9L,BULK,Black Padding,,9/22/2025,,,,,,,,,,,,,+0,"C:60''
F:61''","C:59.5''
F:60.5''",14.5cm,12.0cm,11.0cm,57,54.6'',-8.20%,0.00%,-1.32%,-1.46%,Singeing+Dryer(5box wash 85°C)+Black Padding(140gpl)+Sanforized
X22049,PR085-02R12A,Black Padding,10/30/2025,11/5/2025,504,2511984,155y,"5002X44
12OE(Badsha, Physical BCI) X 12OE(Badsha, Physical BCI),3/1 R.H.T",Black + PD#12A,Windy Group,61~62'',-(3~6)%,+/-(3~4)%,8.30 oz,44,50,+6,"C:63.5''
F:64.2''","C:64''
F:64.8''",14.0cm,14.5cm,13.0cm,51,64.0'',0.00%,-2.80%,0.41%,-2.40%,Singeing+Dryer(5box 85°C)+Black Padding(140gpl)+Sanforized
X25363,,140GPL Black padding,,11/17/2025,,25111026,100y,"4216X42
7ring(Nishat) X7oe(Badsha) , 3/1 R.H.T",Indigo + PD(#05D),Maxnova/Pull&Bear,,3~4%,(3~4)%,12.75 oz,42,48,+6,"C:62.5''
F:63''","C:61.6''
F:62.7''",8.5cm,10.0cm,12.5cm,49,61.1'',-1.10%,-2.80%,1.20%,-3.10%,Singeing+Dryer(5box wash 85°C)+Black Padding(140GPL)+Sanforized
X21157,,140G/L black padding,,11/16/2025,411,25111051,100y,"4200 X 39
7oe(Badsha) X 10-40D(Nishat, Physical BCI) , 3/1 R.H.T",Black(9L) + PD#12A,Tusuka(Team B),57~58'',-(3~6)%,-(10~14)%,11.6 /oz,39,44,+5,"C:58.5''
F:59.5''","C:58''
F:59''",14.0cm,12.0cm,13.0cm,46,50.2'',-13.40%,-4.30%,1.50%,0.00%,Singeing+Dryer(5box Wash 85°C)+Black Padding / 140GPL+Sanforized
X25371,,140G/L black padding,,11/26/2025,410,25111047,90y,"3888X42
9ring(Milan) + 9siro slub(Nishat)(6:4) X 12(75D DTY) - 40D(Xuzhou) , 3/1 R.H.T",Black (9L) + PD,Winter Quilts/C&A,54~55'',-(3~6)%,,9.25~9.50 /oz,42,47,+5,"C:55.2''
F:56.2''","C:54.5''
F:55.5''",14.5cm,10.5cm,11.5cm,48,46.8'',-14.10%,-4.40%,1.80%,0.40%,Singeing+Dryer(5box Wash 85°C)+Black Padding / 140GPL+Sanforized
X23250,PR105-08R12A,140gm/l black padding,12/8/2025,12/14/2025,108,2506494,112y,"4464X43
9oe(Badsha) X 9oe(Badsha) , 3/1 R.H.T",Black + PD #12A,Warptex,63~64'',-(3~6)%,+/-(3~4)%,10.50 oz,43,49,+6,"C:62.2''
F:63.2''","C:63''
F:63.8''",16.5cm,15.5cm,14.0cm,48,62.8'',-0.30%,-1.30%,-1.84%,0.40%,Singeing+Dryer(5box Wash 85°C)+Black Padding / 140GPL+Sanforized
X25385,RNS110-11R12D,210GPL / padding,,12/3/2025,303,25111080,100y,"4495X48
8RING(Nishat,BCI)+7rsl(Q-476)Nishat(7:3)X12-40D(N.S, BCI)Nishat , 3/1 R.H.T",Black + PD#12D,Sainsbury Team B/Testing,60~61'',-(3~6)%,-(10~14)%,11.00 oz,48,54,+6,"C:61''
F:62''","C:60.2''
F:61.2''",16.0cm,13.0cm,12.5cm,54,52.8'',-12.20%,-0.80%,-1.35%,-0.44%,Singeing+Dryer(5box wash 85°C)+Black Padding/210GPL+Sanforized
X25399,X24043,140G/L black padding,12/7/2025,12/14/2025,404,25121101,120y,"3906X43
7ring(Nishat)+7rsl(Nishat)(6:4) X 10-70D(Nishat) , 3/1 R.H.T",Black(9L) + PD#12A,H&F,57~58%(Approx),-(3~6)%,,11.75 oz,43,49,+6,"C:58''
F:59''","C:57''
F:58''",16.5cm,13.0cm,11.5cm,48,48.6'',-3.50%,0.30%,-14.70%,-2.50%,Singeing+Dryer(5box 85°C wash/  30m/m)+Dryer(Black padding 140GPL )+Sanforized
X24175,,Heat Setting+Padding,12/14/2025,12/22/2025,205,2510909,120y,"3564X42
7ring(Badsha) X 8-40D(BCI, Nishat) , 3/1 R.H.T",Heat Setting+Padding,Mardy Jeans,58~59'',-(3~6)%,-(9~13)%,11.00 oz,42,47,+5,"C:59.2''
F:60.5''","C:58.8''
F:60''",16.0cm,13.0cm,12.0cm,48,52.2'',-11.20%,-1.40%,0.30%,-1.30%,Singeing+Heat Setting+Dryer(5box 85°C wash)+Padding+Sanforized
X25206,,140GPL Black Padding,12/23/2025,12/28/2025,505,2507651,120y,"4968X52
10oe(Badsha)+10rsl(yt-260)(7:3) X 60-40D(Nishat, N.S, BCI spandex) , 3/1 R.H.T",Black + PD#12B,Michel Kors,57~58'',-(3~6)%,-(13~17)%,9.75 oz,52,56,+4,"C:59.5''
F:60.8''","C:58.7''
F:59.7''",15.0cm,12.5cm,12.5cm,56,50.2'',-14.40%,-1.80%,1.50%,-1.30%,Singeing+Dryer(5box wash 85°C)+Padding(140g/l)+Sanforized
X25421,X25217,140GPL Black padding,12/21/2025,12/28/2025,207,25121139,155y,"4176X46
10rn(Ring span Nishat, Physical BCI)X16-40D(Nishat,Physcial Spandex), 3/1 R.H.T",Black(9L)+PD(#12A),Mardy jeans/Team B,52~53'',+/-(3~4)%,-(21~25)%,9.00 oz,46,50,+4,"C:53.8''
F:54.8''","C:53''
F:54''",13.5cm,11.5cm,10.0cm,50,42.7'',-19.40%,-3.00%,-0.40%,-2.20%,Singeing+Drye(85°C wash 5box)+Black Padding(140gpl)+Sanforized
X26015,,140GPL Black padding,1/8/2026,1/15/2026,202,2601021,100y,"4464X48
10rsl(TY-199)Nishat X10-40D(Nishat,Physical BCI), 3/1 R.H.T",Dark Indigo + PD(#6A),Natural Indigo/Connor,,,,11.00 oz,48,54,+6,"C:59''
F:60''","C:58.5''
F:59.5''",13.0cm,10.5cm,9.5cm,56,50.8'',-13.10%,-2.30%,-2.90%,0.60%,Singeing+Dryer(5box 85°C wash)+Padding(140g/l)+Sanforized
X24202,,140GPL Black padding,,1/15/2026,110,2601026,100y,,,,,,,,40,46,+6,"C:64''
F:64.7''","C:64''
F:64.8''",12.5cm,13.0cm,11.0cm,46,64.1'',0.10%,-0.50%,-1.40%,0.70%,Singeing+Dryer(5box 85°C)+Black Padding(140gpl)+Sanforized
X25209,,140GPL Black padding,,1/21/2026,617,2504317,102y,,,,,,,,39,44,+5,"C:63.5''
F:64.5''","C:63.2''
F:64.2''",16.0cm,14.0cm,13.0cm,45,63.8'',0.90%,-1.00%,-1.10%,-1.40%,Singeing+Dryer(5box 85°C)+Black Padding(140gpl)+Sanforized
X22238,,140GPL Black padding,,1/21/2026,417,2601047,100y,,,,,,,,42,48,+6,"C:59.8''
F:60.7''","C:60.2''
F:61''",19.0cm,14.5cm,13.0cm,48,60.8'',0.90%,-1.50%,-0.70%,-0.90%,Singeing+Dryer(5box 85°C)+Black Padding(140gpl)+Sanforized
